initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.094  | 73.086  |  12668  | -10122  | -0.055  | -1.075  | -1.511  |
  0.072  | 72.827  |  12626  | -10083  | -0.068  | -1.076  | -1.514  |
  0.081  | 72.528  |  12580  | -10036  | -0.080  | -1.077  | -1.525  |
  0.092  | 72.301  |  12546  |  -9999  | -0.088  | -1.077  | -1.522  |
  0.094  | 72.208  |  12529  |  -9987  | -0.094  | -1.078  | -1.517  |
  0.084  | 72.204  |  12527  |  -9988  | -0.097  | -1.078  | -1.517  |
  0.087  | 72.204  |  12527  |  -9988  | -0.098  | -1.078  | -1.517  |
  0.101  | 72.214  |  12529  |  -9989  | -0.096  | -1.078  | -1.519  |
  0.105  | 72.394  |  12561  | -10013  | -0.092  | -1.078  | -1.522  |
  0.070  | 72.759  |  12608  | -10080  | -0.086  | -1.078  | -1.534  |
  0.037  | 73.051  |  12711  | -10068  | -0.077  | -1.077  | -1.514  |
  0.027  | 73.240  |  12840  |  -9998  | -0.066  | -1.071  | -1.304  |
  0.044  | 73.314  |  12949  |  -9912  | -0.057  | -1.062  | -1.041  |
  0.065  | 73.407  |  13048  |  -9842  | -0.049  | -1.048  | -0.815  |
  0.072  | 73.632  |  13130  |  -9830  | -0.046  | -1.036  | -0.645  |
  0.077  | 73.930  |  13218  |  -9835  | -0.041  | -1.022  | -0.541  |
  0.059  | 74.408  |  13334  |  -9868  | -0.037  | -1.007  | -0.448  |
  0.029  | 74.966  |  13449  |  -9927  | -0.034  | -0.989  | -0.355  |
  0.013  | 75.482  |  13553  |  -9984  | -0.029  | -0.971  | -0.292  |
  0.010  | 75.934  |  13651  | -10027  | -0.025  | -0.950  | -0.223  |
  0.010  | 76.364  |  13744  | -10068  | -0.023  | -0.932  | -0.157  |
  0.006  | 76.794  |  13843  | -10103  | -0.022  | -0.916  | -0.062  |
  0.001  | 77.182  |  13929  | -10138  | -0.022  | -0.898  |  0.022  |
  0.004  | 77.522  |  13992  | -10181  | -0.023  | -0.882  |  0.080  |
  0.004  | 77.887  |  14046  | -10241  | -0.024  | -0.868  |  0.073  |
 -0.006  | 78.208  |  14093  | -10294  | -0.024  | -0.856  |  0.062  |
 -0.007  | 78.439  |  14129  | -10330  | -0.024  | -0.847  |  0.059  |
 -0.001  | 78.586  |  14151  | -10354  | -0.024  | -0.841  |  0.055  |
  0.004  | 78.679  |  14162  | -10372  | -0.024  | -0.834  |  0.050  |
  0.003  | 78.753  |  14170  | -10387  | -0.024  | -0.830  |  0.039  |
  0.003  | 78.779  |  14170  | -10395  | -0.024  | -0.828  |  0.028  |
 -0.006  | 78.788  |  14170  | -10398  | -0.024  | -0.829  |  0.020  |
 -0.026  | 78.769  |  14167  | -10395  | -0.024  | -0.832  |  0.022  |
 -0.031  | 78.535  |  14135  | -10354  | -0.024  | -0.838  |  0.031  |
  0.005  | 78.128  |  14077  | -10285  | -0.025  | -0.847  |  0.030  |
