initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.082  | 68.616  |  11951  |  -9445  | -0.314  | -1.024  | -1.546  |
  0.064  | 70.732  |  12279  |  -9777  | -0.234  | -1.023  | -1.549  |
  0.047  | 72.843  |  12608  | -10106  | -0.153  | -1.022  | -1.551  |
  0.031  | 74.930  |  12937  | -10428  | -0.078  | -1.022  | -1.546  |
 -0.065  | 77.438  |  13328  | -10819  |  0.010  | -1.021  | -1.542  |
 -0.402  | 80.562  |  13812  | -11309  |  0.076  | -1.019  | -1.546  |
 -0.556  | 82.287  |  14078  | -11581  |  0.131  | -1.019  | -1.544  |
 -0.451  | 82.201  |  14065  | -11567  |  0.170  | -1.017  | -1.565  |
 -0.362  | 81.283  |  13929  | -11417  |  0.169  | -1.018  | -1.559  |
 -0.150  | 79.099  |  13594  | -11071  |  0.133  | -1.020  | -1.526  |
  0.202  | 76.075  |  13128  | -10594  |  0.089  | -1.021  | -1.539  |
  0.520  | 73.728  |  12765  | -10225  |  0.038  | -1.024  | -1.529  |
  0.467  | 73.670  |  12757  | -10215  |  0.006  | -1.024  | -1.511  |
  0.253  | 75.030  |  12959  | -10437  |  0.006  | -1.025  | -1.526  |
 -0.057  | 77.069  |  13267  | -10765  |  0.022  | -1.026  | -1.530  |
 -0.301  | 78.432  |  13474  | -10983  |  0.040  | -1.024  | -1.550  |
 -0.280  | 78.173  |  13440  | -10936  |  0.044  | -1.024  | -1.537  |
 -0.139  | 76.800  |  13235  | -10713  |  0.029  | -1.025  | -1.517  |
  0.145  | 74.542  |  12887  | -10357  |  0.002  | -1.026  | -1.508  |
  0.409  | 72.740  |  12610  | -10072  | -0.031  | -1.029  | -1.512  |
  0.379  | 72.669  |  12601  | -10059  | -0.054  | -1.029  | -1.498  |
  0.260  | 73.532  |  12725  | -10204  | -0.055  | -1.030  | -1.502  |
  0.036  | 75.165  |  12972  | -10466  | -0.037  | -1.031  | -1.516  |
 -0.190  | 76.608  |  13195  | -10693  | -0.016  | -1.030  | -1.530  |
 -0.196  | 76.742  |  13218  | -10712  | -0.005  | -1.028  | -1.535  |
 -0.123  | 76.101  |  13125  | -10605  | -0.006  | -1.028  | -1.511  |
  0.039  | 74.786  |  12920  | -10400  | -0.020  | -1.031  | -1.518  |
  0.237  | 73.436  |  12713  | -10186  | -0.041  | -1.032  | -1.509  |
  0.272  | 73.019  |  12653  | -10116  | -0.058  | -1.033  | -1.489  |
  0.234  | 73.231  |  12682  | -10153  | -0.063  | -1.032  | -1.484  |
  0.139  | 73.981  |  12791  | -10278  | -0.057  | -1.033  | -1.505  |
 -0.016  | 75.084  |  12961  | -10452  | -0.045  | -1.033  | -1.527  |
 -0.110  | 75.723  |  13059  | -10553  | -0.032  | -1.032  | -1.528  |
 -0.086  | 75.665  |  13059  | -10535  | -0.025  | -1.032  | -1.529  |
 -0.029  | 75.248  |  13071  | -10393  | -0.025  | -1.032  | -1.452  |
  0.063  | 74.510  |  13068  | -10166  | -0.028  | -1.031  | -1.226  |
  0.170  | 73.779  |  13068  |  -9938  | -0.036  | -1.026  | -0.916  |
  0.227  | 73.551  |  13108  |  -9827  | -0.043  | -1.015  | -0.658  |
  0.169  | 74.148  |  13240  |  -9881  | -0.044  | -1.007  | -0.544  |
  0.036  | 75.261  |  13459  | -10009  | -0.042  | -0.986  | -0.443  |
 -0.138  | 76.412  |  13681  | -10146  | -0.036  | -0.966  | -0.310  |
 -0.159  | 76.755  |  13767  | -10167  | -0.031  | -0.952  | -0.205  |
 -0.115  | 76.524  |  13750  | -10112  | -0.030  | -0.946  | -0.159  |
